slide_name,x,y,labels,suffix,predictions,predictions_N,predictions_S,predictions_E,predictions_W,predictions_NE,predictions_SE,predictions_NW,predictions_SW,lr_preds
tumor_110,2400,11400,0,0,0.1996574103832245,0.15,0.20269191265106198,4.675984382629394e-05,0.15,0.023217499256134037,0.00399342179298401,0.15,0.15,0.21813161589491187
tumor_110,2400,11700,0,1,0.20269191265106198,0.1996574103832245,0.15,0.00399342179298401,0.15,4.675984382629394e-05,0.001118481159210205,0.15,0.15,0.2170237001088501
tumor_110,2700,10500,0,2,2.968311309814453e-05,0.15,5.960464477539063e-08,8.630752563476562e-05,0.15,0.00018107891082763672,0.0,0.15,0.15,0.17413498962627508
tumor_110,2700,10800,0,3,5.960464477539063e-08,2.968311309814453e-05,0.023217499256134037,0.0,0.15,8.630752563476562e-05,0.000833660364151001,0.15,0.15,0.1632331925818233
tumor_110,2700,11100,0,4,0.023217499256134037,5.960464477539063e-08,4.675984382629394e-05,0.000833660364151001,0.15,0.0,2.086162567138672e-07,0.15,0.1996574103832245,0.16831850641601348
tumor_110,2700,11400,0,5,4.675984382629394e-05,0.023217499256134037,0.00399342179298401,2.086162567138672e-07,0.1996574103832245,0.000833660364151001,2.9802322387695312e-08,0.15,0.20269191265106198,0.17245870982934317
tumor_110,2700,11700,0,6,0.00399342179298401,4.675984382629394e-05,0.001118481159210205,2.9802322387695312e-08,0.20269191265106198,2.086162567138672e-07,2.264976501464844e-06,0.1996574103832245,0.15,0.16987209405759868
tumor_110,2700,12000,0,7,0.001118481159210205,0.00399342179298401,0.15,2.264976501464844e-06,0.15,2.9802322387695312e-08,2.086162567138672e-05,0.20269191265106198,0.15,0.17676851621718112
tumor_110,3000,10200,0,8,0.00018107891082763672,0.15,8.630752563476562e-05,3.275275230407715e-05,0.15,7.426738739013672e-05,1.1920928955078125e-07,0.15,2.968311309814453e-05,0.16132953637944947
tumor_110,3000,10500,0,9,8.630752563476562e-05,0.00018107891082763672,0.0,1.1920928955078125e-07,2.968311309814453e-05,3.275275230407715e-05,2.905726432800293e-05,0.15,5.960464477539063e-08,0.13833204119103237
tumor_110,3000,10800,0,10,0.0,8.630752563476562e-05,0.000833660364151001,2.905726432800293e-05,5.960464477539063e-08,1.1920928955078125e-07,5.364418029785156e-07,2.968311309814453e-05,0.023217499256134037,0.13123636598607827
tumor_110,3000,11100,0,11,0.000833660364151001,0.0,2.086162567138672e-07,5.364418029785156e-07,0.023217499256134037,2.905726432800293e-05,4.202127456665039e-06,5.960464477539063e-08,4.675984382629394e-05,0.13123366604357695
tumor_110,3000,11400,0,12,2.086162567138672e-07,0.000833660364151001,2.9802322387695312e-08,4.202127456665039e-06,4.675984382629394e-05,5.364418029785156e-07,0.0019797682762146,0.023217499256134037,0.00399342179298401,0.131344400652605
tumor_110,3000,11700,0,13,2.9802322387695312e-08,2.086162567138672e-07,2.264976501464844e-06,0.0019797682762146,0.00399342179298401,4.202127456665039e-06,0.006653308868408203,4.675984382629394e-05,0.001118481159210205,0.13045581695810435
